organism,u_G,g_avail,frac_glyc,phenotype,J_ATP
ecoli,0.0981012658227848,0.14193043037974687,0.0,respiration,0.033124
ecoli,0.0981012658227848,0.14382282278481015,0.0,respiration,0.033124
ecoli,0.0981012658227848,0.14571521518987343,0.0,respiration,0.033124
ecoli,0.0981012658227848,0.14760760759493674,0.0,respiration,0.033124
ecoli,0.0981012658227848,0.14950000000000002,0.0,respiration,0.033124
ecoli,0.11012658227848102,1e-06,0.0,respiration,2.6e-05
ecoli,0.11012658227848102,0.0018933924050632913,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.003785784810126583,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.005678177215189874,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.007570569620253166,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.009462962025316456,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.011355354430379747,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.013247746835443039,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.01514013924050633,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.017032531645569622,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.018924924050632914,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.020817316455696205,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.022709708860759497,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.02460210126582279,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.02649449367088608,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.028386886075949372,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.030279278481012663,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.032171670886075955,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.03406406329113924,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.03595645569620254,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.037848848101265826,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.03974124050632912,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.04163363291139241,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.043526025316455705,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.04541841772151899,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.04731081012658229,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.049203202531645576,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.05109559493670887,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.05298798734177216,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.054880379746835455,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.05677277215189874,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.05866516455696204,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.060557556962025326,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.062449949367088614,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.06434234177215191,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.0662347341772152,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.06812712658227849,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.07001951898734178,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.07191191139240508,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.07380430379746837,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.07569669620253165,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.07758908860759495,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.07948148101265824,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.08137387341772154,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.08326626582278482,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.08515865822784811,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.08705105063291141,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.0889434430379747,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.09083583544303798,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.09272822784810128,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.09462062025316458,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.09651301265822786,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.09840540506329115,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.10029779746835445,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.10219018987341774,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.10408258227848102,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.10597497468354432,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.10786736708860761,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.10975975949367091,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.11165215189873419,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.11354454430379748,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.11543693670886078,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.11732932911392407,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.11922172151898736,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.12111411392405065,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.12300650632911395,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.12489889873417723,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.12679129113924054,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.12868368354430382,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.1305760759493671,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.1324684683544304,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.1343608607594937,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.13625325316455697,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.13814564556962028,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.14003803797468356,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.14193043037974687,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.14382282278481015,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.14571521518987343,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.14760760759493674,0.0,respiration,0.033124
ecoli,0.11012658227848102,0.14950000000000002,0.0,respiration,0.033124
ecoli,0.12215189873417721,1e-06,0.0,respiration,2.6e-05
ecoli,0.12215189873417721,0.0018933924050632913,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.003785784810126583,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.005678177215189874,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.007570569620253166,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.009462962025316456,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.011355354430379747,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.013247746835443039,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.01514013924050633,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.017032531645569622,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.018924924050632914,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.020817316455696205,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.022709708860759497,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.02460210126582279,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.02649449367088608,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.028386886075949372,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.030279278481012663,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.032171670886075955,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.03406406329113924,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.03595645569620254,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.037848848101265826,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.03974124050632912,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.04163363291139241,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.043526025316455705,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.04541841772151899,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.04731081012658229,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.049203202531645576,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.05109559493670887,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.05298798734177216,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.054880379746835455,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.05677277215189874,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.05866516455696204,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.060557556962025326,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.062449949367088614,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.06434234177215191,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.0662347341772152,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.06812712658227849,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.07001951898734178,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.07191191139240508,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.07380430379746837,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.07569669620253165,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.07758908860759495,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.07948148101265824,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.08137387341772154,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.08326626582278482,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.08515865822784811,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.08705105063291141,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.0889434430379747,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.09083583544303798,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.09272822784810128,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.09462062025316458,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.09651301265822786,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.09840540506329115,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.10029779746835445,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.10219018987341774,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.10408258227848102,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.10597497468354432,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.10786736708860761,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.10975975949367091,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.11165215189873419,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.11354454430379748,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.11543693670886078,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.11732932911392407,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.11922172151898736,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.12111411392405065,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.12300650632911395,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.12489889873417723,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.12679129113924054,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.12868368354430382,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.1305760759493671,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.1324684683544304,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.1343608607594937,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.13625325316455697,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.13814564556962028,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.14003803797468356,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.14193043037974687,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.14382282278481015,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.14571521518987343,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.14760760759493674,0.0,respiration,0.033124
ecoli,0.12215189873417721,0.14950000000000002,0.0,respiration,0.033124
ecoli,0.1341772151898734,1e-06,0.0,respiration,2.6e-05
ecoli,0.1341772151898734,0.0018933924050632913,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.003785784810126583,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.005678177215189874,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.007570569620253166,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.009462962025316456,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.011355354430379747,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.013247746835443039,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.01514013924050633,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.017032531645569622,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.018924924050632914,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.020817316455696205,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.022709708860759497,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.02460210126582279,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.02649449367088608,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.028386886075949372,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.030279278481012663,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.032171670886075955,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.03406406329113924,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.03595645569620254,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.037848848101265826,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.03974124050632912,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.04163363291139241,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.043526025316455705,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.04541841772151899,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.04731081012658229,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.049203202531645576,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.05109559493670887,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.05298798734177216,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.054880379746835455,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.05677277215189874,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.05866516455696204,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.060557556962025326,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.062449949367088614,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.06434234177215191,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.0662347341772152,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.06812712658227849,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.07001951898734178,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.07191191139240508,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.07380430379746837,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.07569669620253165,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.07758908860759495,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.07948148101265824,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.08137387341772154,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.08326626582278482,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.08515865822784811,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.08705105063291141,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.0889434430379747,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.09083583544303798,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.09272822784810128,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.09462062025316458,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.09651301265822786,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.09840540506329115,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.10029779746835445,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.10219018987341774,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.10408258227848102,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.10597497468354432,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.10786736708860761,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.10975975949367091,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.11165215189873419,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.11354454430379748,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.11543693670886078,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.11732932911392407,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.11922172151898736,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.12111411392405065,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.12300650632911395,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.12489889873417723,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.12679129113924054,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.12868368354430382,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.1305760759493671,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.1324684683544304,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.1343608607594937,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.13625325316455697,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.13814564556962028,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.14003803797468356,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.14193043037974687,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.14382282278481015,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.14571521518987343,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.14760760759493674,0.0,respiration,0.033124
ecoli,0.1341772151898734,0.14950000000000002,0.0,respiration,0.033124
ecoli,0.14620253164556962,1e-06,0.0,respiration,2.6e-05
ecoli,0.14620253164556962,0.0018933924050632913,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.003785784810126583,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.005678177215189874,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.007570569620253166,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.009462962025316456,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.011355354430379747,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.013247746835443039,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.01514013924050633,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.017032531645569622,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.018924924050632914,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.020817316455696205,0.0,respiration,0.033124
ecoli,0.14620253164556962,0.022709708860759497,0.0,respiration,0.033124
